Sentence,Sentiment,clean,stopped,lemma
"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",positive,the geosolut technolog will leverag benefon s gp solut by provid locat base search technolog a commun platform locat relev multimedia content and a new and power commerci model,geosolut technolog leverag benefon gp solut provid locat base search technolog commun platform locat relev multimedia content new power commerci model,geosolut technolog leverag benefon gp solut provid locat base search technolog commun platform locat relev multimedia content new power commerci model
"$ESI on lows, down $1.50 to $2.50 BK a real possibility",negative,esi on low down to bk a real possibl,esi low down bk real possibl,esi low down bankrupt real possibl
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,for the last quarter of componenta s net sale doubl to from for the same period a year earlier while it move to a zero pre tax profit from a pre tax loss of,last quarter componenta net sale doubl period year earlier move zero pre tax profit pre tax loss,last quarter componenta net sale doubl period year earlier move zero pre tax profit pre tax loss
"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",neutral,accord to the finnish russian chamber of commerc all the major construct compani of finland are oper in russia,accord finnish russian chamber commerc major construct compani finland oper russia,accord finnish russian chamber commerc major construct compani finland oper russia
"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",neutral,the swedish buyout firm ha sold it remain percent stake almost eighteen month after take the compani public in finland,swedish buyout firm ha sold remain percent stake almost eighteen month take compani public finland,swedish buyout firm ha sold remain percent stake almost eighteen month take compani public finland
$SPY wouldn't be surprised to see a green close,positive,spi wouldn t be surpris to see a green close,spi surpris see green close,spi surpris see green close
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,negative,she will s billion bg deal meet sharehold skeptic,billion bg deal meet sharehold skeptic,billion bg deal meet sharehold skeptic
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",negative,ssh commun secur corp stock exchang releas octob at pm the compani updat it full year outlook and estim it result to remain at loss for the full year,ssh commun secur corp stock exchang releas octob pm compani updat full year outlook estim result remain loss full year,ssh commun secur corp stock exchang releas octob pm compani updat full year outlook estim result remain loss full year
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,positive,kone s net sale rose by some year on year in the first nine month of,kone net sale rose year year first nine month,kone net sale rose year year first nine month
"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",neutral,the stockmann depart store will have a total floor space of over squar metr and stockmann s invest in the project will have a price tag of about,stockmann depart store total floor space squar metr stockmann invest project price tag,stockmann depart store total floor space squar metr stockmann invest project price tag
